State,"Number of Players"
California,42
Texas,23
"New York",22
"North Carolina",21
Illinois,18
Florida,17
Georgia,16
Washington,14
Pennsylvania,14
Maryland,14
Indiana,13
Ohio,13
Michigan,12
Minnesota,11
"New Jersey",11
Missouri,10
Wisconsin,9
Virginia,8
Arkansas,8
Louisiana,7
Oregon,7
"South Carolina",7
Alabama,6
Oklahoma,6
Massachusetts,5
Tennessee,5
Arizona,5
Kansas,4
Iowa,4
Nevada,3
Delaware,3
"Rhode Island",2
Colorado,2
Kentucky,2
Mississippi,2
Nebraska,1
Utah,1
Alaska,1
Wyoming,1
Maine,1
Virgina,1
"North Dakota",1
